NIRF_Rank,Institute,Placements_rating,Infrastructure_rating,Faculty_Course_Curriculum_rating,Crowd_Campus_Life_rating,Value_for_Money_rating,Learning_Experience_rating,Total_Reviews,Fees,Salary,Courses
66,Sathyabama Institute of Science and Technology3.,3.9,3.8,4.0,3.9,3.9,5.0,845.0,,,B.Tech
67,PSGCT Coimbatore4.,4.4,4.2,4.3,4.4,4.6,0.0,236.0,₹ 2.00 LakhSalary ,₹ 7.00 Lakh 30India Today ,B.Tech
68,NIT Meghalaya - National Institute of Technology3.,3.9,3.6,4.2,3.6,4.0,0.0,54.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
69,Visvesvaraya Technological University3.,3.3,3.6,4.1,4.0,4.3,0.0,56.0,₹ 1.35 LakhNot RankedIndia Today ,,B.Tech
70,UoH - University of Hyderabad4.,3.7,4.3,4.3,4.6,4.6,0.0,95.0,₹ 1.97 LakhSalary ,₹ 8.25 Lakh Not RankedIndia Today ,B.Tech
71,NIT Raipur - National Institute of Technology3.,3.9,3.4,3.9,4.0,4.0,0.0,575.0,₹ 5.00 LakhSalary ,₹ 8.00 Lakh Not RankedIndia Today ,B.Tech
72,MANIT - Maulana Azad National Institute of Technology4.,4.1,3.8,3.9,4.4,4.2,0.0,754.0,₹ 5.00 LakhSalary ,₹ 10.00 Lakh Not RankedIndia Today ,B.Tech
73,"Indian Institute of Technology , Bhilai4.",3.8,3.9,4.2,4.1,3.9,0.0,40.0,₹ 9.00 LakhNot RankedIndia Today ,,B.Tech
74,"International Institute of Information Technology, Bangalore4.",4.7,4.6,4.7,4.3,4.3,0.0,22.0,₹ 26.32 LakhSalary ,₹ 27.30 Lakh Not RankedIndia Today ,B.Tech
75,Ramaiah Institute of Technology4.,4.1,4.3,4.1,4.3,4.1,0.0,439.0,₹ 10.46 LakhSalary ,₹ 8.00 Lakh 25India Today ,B.Tech
76,Sant Longowal Institute of Engineering and Technology4.,3.4,4.3,3.9,4.2,4.4,0.0,275.0,,₹ 4.00 Lakh Not RankedIndia Today ,B.Tech
77,"College of Engineering, Pune4.",4.3,4.2,4.0,4.4,4.4,0.0,349.0,"₹ 68,000Salary ",₹ 9.75 Lakh 17India Today ,B.Tech
78,Banasthali Vidyapith4.,3.7,4.2,4.4,4.3,4.2,0.0,772.0,₹ 6.16 LakhSalary ,₹ 9.05 Lakh Not RankedIndia Today ,B.Tech
79,NIT Srinagar - National Institute of Technology3.,3.6,3.8,3.8,4.0,3.9,0.0,360.0,₹ 5.00 LakhSalary ,₹ 12.00 Lakh Not RankedIndia Today ,B.Tech
80,Rajiv Gandhi Institute of Petroleum Technology4.,3.7,4.4,4.1,3.9,3.9,0.0,112.0,₹ 10.77 LakhSalary ,₹ 7.98 Lakh Not RankedIndia Today ,B.Tech
81,NIT Kurukshetra - National Institute of Technology4.,4.0,4.0,3.8,4.3,4.2,0.0,648.0,₹ 5.00 LakhSalary ,₹ 10.00 Lakh Not RankedIndia Today ,B.Tech
